tax_year,tax_district,tif_project_num,tif_project_name,tif_status,tif_start_year,tif_end_year,tif_percentage,parcel_number,library,jnvs,park_dist,city_village,township,school,taxable_luc,tifluc,appraised_land,appraised_impr,appraised_total,assessed_land,assessed_impr,assessed_total,homesite,tax_rate_type,full_rate,reduction_factor,non_business_rate,own_occ_rate,effective_rate,eff_rate_county_gen,eff_rate_children,eff_rate_admh,eff_rate_fcbdd,eff_rate_parks,eff_rate_zoo,eff_rate_senior,eff_rate_library,eff_rate_jnvs,eff_rate_park_dist,eff_rate_city_village,eff_rate_township,eff_rate_schools,eff_rate_cscc,diverted_county_gen,diverted_children,diverted_admh,diverted_fcbdd,diverted_parks,diverted_zoo,diverted_senior,diverted_library,diverted_jnvs,diverted_park_dist,diverted_city_village,diverted_township,diverted_schools,diverted_cscc,diverted_total,tif_total,tif_jvs,tif_city_village,tif_township,tif_schools
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273716-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,54600.00,54600.00,0.00,19110.00,19110.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,24.58,81.00,36.68,116.72,12.50,11.63,21.68,46.82,42.47,0.00,23.92,199.19,0.00,0.00,617.19,1498.08,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273717-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,105900.00,105900.00,0.00,37070.00,37070.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,47.68,157.12,71.15,226.40,24.26,22.56,42.05,90.82,82.39,0.00,46.38,386.43,0.00,0.00,1197.24,2906.00,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273718-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,111000.00,111000.00,0.00,38850.00,38850.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,49.97,164.67,74.57,237.28,25.42,23.64,44.06,95.18,86.35,0.00,48.61,404.98,0.00,0.00,1254.73,3045.56,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273719-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,104000.00,104000.00,0.00,36400.00,36400.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,46.82,154.28,69.87,222.30,23.82,22.15,41.29,89.18,80.90,0.00,45.54,379.45,0.00,0.00,1175.60,2853.48,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273720-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,108800.00,108800.00,0.00,38080.00,38080.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,48.98,161.40,73.09,232.56,24.92,23.18,43.19,93.30,84.63,0.00,47.66,396.95,0.00,0.00,1229.86,2985.18,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273721-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,131600.00,131600.00,0.00,46060.00,46060.00,No,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,60.94,200.80,90.93,289.34,31.00,28.83,53.73,116.07,105.29,0.00,59.29,489.95,0.00,0.00,1526.17,3710.00,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273722-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,53600.00,53600.00,0.00,18760.00,18760.00,No,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,24.82,81.79,37.04,117.84,12.63,11.74,21.89,47.27,42.89,0.00,24.13,199.56,0.00,0.00,621.60,1511.06,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273723-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,102400.00,102400.00,0.00,35840.00,35840.00,No,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,47.42,156.24,70.76,225.14,24.12,22.44,41.81,90.32,81.93,0.00,46.13,381.23,0.00,0.00,1187.54,2886.82,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273724-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,86600.00,86600.00,0.00,30310.00,30310.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,38.99,128.47,58.18,185.12,19.83,18.45,34.38,74.26,67.36,0.00,37.93,315.95,0.00,0.00,978.92,2376.08,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273725-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,105400.00,105400.00,0.00,36890.00,36890.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,47.45,156.36,70.81,225.30,24.14,22.45,41.84,90.38,81.99,0.00,46.15,384.56,0.00,0.00,1191.43,2891.90,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273726-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,105800.00,105800.00,0.00,37030.00,37030.00,Yes,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,47.63,156.94,71.08,226.16,24.23,22.54,42.00,90.72,82.30,0.00,46.33,386.02,0.00,0.00,1195.95,2902.88,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273727-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,146900.00,146900.00,0.00,51420.00,51420.00,No,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,68.03,224.17,101.52,323.02,34.61,32.19,59.99,129.58,117.55,0.00,66.17,546.95,0.00,0.00,1703.78,4141.74,NA,NA,NA,NA
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175-273728-00,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,NA,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0.00,138400.00,138400.00,0.00,48440.00,48440.00,No,Res/Ag,98.900000,0.098423,0.096661,0.024165,89.166048,1.470000,4.843961,2.193655,6.979812,0.747837,0.695550,1.296250,2.800000,2.540000,0.000000,1.430000,11.488231,52.680752,0.000000,64.09,211.18,95.63,304.30,32.60,30.32,56.51,122.07,110.73,0.00,62.34,515.26,0.00,0.00,1605.03,3901.70,NA,NA,NA,NA
