TaxYear,Municipality,Fund,TIF_Loss,Abatement_Loss,Total_Loss
2024,Jefferson Unincorporated,Road,210903.36296533456,750.2610920433335,211653.6240573779
2024,Reynoldsburg,General,12920.069154862937,0,12920.069154862937
2024,Reynoldsburg,Fire,124764.74084513706,0,124764.74084513706
2024,Reynoldsburg,Road,0,0,0
2014,Jefferson Unincorporated,General,0,178.89094991893106,178.89094991893106
2014,Jefferson Unincorporated,Fire,0,1783.226312601336,1783.226312601336
2014,Jefferson Unincorporated,Road,0,44.72273747973277,44.72273747973277
2015,Jefferson Unincorporated,General,0,117.64339290410967,117.64339290410967
2015,Jefferson Unincorporated,Fire,0,1082.812728751042,1082.812728751042
2015,Jefferson Unincorporated,Road,0,358.79387834484857,358.79387834484857
2016,Jefferson Unincorporated,General,0,1128.1964829006447,1128.1964829006447
2016,Jefferson Unincorporated,Fire,0,10365.835438996635,10365.835438996635
2016,Jefferson Unincorporated,Road,0,3436.2980781027195,3436.2980781027195
