ParcelNumber,DivertedTownship_2022,DivertedTownship_2023,DivertedTownship_2024,DivertedParks_2022,DivertedParks_2023,DivertedParks_2024,DivertedCityVillage_2022,DivertedCityVillage_2023,DivertedCityVillage_2024,DivertedZoo_2022,DivertedZoo_2023,DivertedZoo_2024,DivertedChildren_2022,DivertedChildren_2023,DivertedChildren_2024,DivertedLibrary_2022,DivertedLibrary_2023,DivertedLibrary_2024,PctChange_Township_22_23,PctChange_Township_23_24
027-000058,2601.73,1565.78,1572.96,207.48000000000002,110.75,111.01,375.84000000000003,283,283,118.7,63.36,63.51,826.62,441.24,561.3299999999999,476.12,456.25,457.39,-39.8,0.5
027-000059,1580.27,1569.09,1576.29,126.02,110.99000000000001,111.25,228.29,283.6,283.6,72.09,63.49,63.64,502.08,442.17,562.51,289.19,457.21,458.35,-0.7,0.5
027-000060,1772.4,1453.41,1460.07,141.35000000000002,102.8,103.04,256.03,262.69,262.69,80.86,58.809999999999995,58.949999999999996,563.12,409.57,521.04,324.35,423.51,424.55,-18,0.5
027-000061,1901.6299999999999,1740.33,1748.32,151.65,123.1,123.39,274.71,314.54,314.54,86.76,70.42,70.59,604.1800000000001,490.42999999999995,623.9,348,507.11,508.37,-8.5,0.5
027-000062,1627.95,1672.94,1680.62,129.83,118.33,118.61,235.17,302.37,302.37,74.27,67.69,67.85,517.23,471.44,599.74,297.91999999999996,487.46999999999997,488.68,2.8,0.5
027-000063,1748.2,1506.99,1513.9,139.42000000000002,106.59,106.84,252.54,272.37,272.37,79.76,60.98,61.120000000000005,555.4399999999999,424.68,540.25,319.92999999999995,439.12,440.21,-13.8,0.5
027-000064,2060.98,1712.47,1720.33,164.36,121.13,121.41000000000001,297.72999999999996,309.52,309.51,94.02,69.3,69.46000000000001,654.81,482.58,613.92,377.17,498.98999999999995,500.22999999999996,-16.9,0.5
027-000065,1886.72,1823.98,1832.34,150.46,129.02,129.32000000000002,272.55,329.66,329.66,86.08,73.81,73.98,599.4399999999999,514,653.89,345.28,531.49,532.81,-3.3,0.5
027-000066,1919.6,1819.31,1827.6599999999999,153.08,128.69,128.99,277.31,328.82,328.82,87.58,73.61999999999999,73.79,609.89,512.69,652.22,351.28999999999996,530.12,531.4499999999999,-5.2,0.5
027-000067,2145.59,1596.46,1606.24,171.10999999999999,112.92,113.36,309.95,288.55,288.98999999999995,97.89,64.6,64.85,681.7,449.89,573.21,392.65000000000003,465.19,467.07,-25.6,0.6
027-000068,1899.56,1508.33,1515.25,151.49,106.69,106.94000000000001,274.40999999999997,272.61,272.61,86.66,61.03,61.18,603.52,425.06,540.73,347.62,439.51,440.6,-20.6,0.5
027-000069,2149.44,1729.84,1937.54,171.41,122.36,136.73999999999998,310.51,312.64000000000004,348.59,98.06,70,78.23,682.92,487.46999999999997,691.43,393.35,504.05,563.39,-19.5,12
027-000070,2074.11,2001.93,2011.12,165.41,141.6,141.93,299.63,361.82,361.82,94.61999999999999,81.01,81.2,658.98,564.15,717.6800000000001,379.57,583.3399999999999,584.7900000000001,-3.5,0.5
027-000071,2031.96,1757.23,1765.27,162.04,124.29,124.59,293.54,317.59,317.6,92.7,71.11,71.27,645.59,495.19,629.9599999999999,371.85,512.03,513.3,-13.5,0.5
027-000072,0,7.28,7.3,0,0.51,0.51,0,1.34,1.34,0,0.3,0.3,0,2.08,2.64,0,2.13,2.13,NA,0.3
027-000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
027-000074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
027-000119,1.8,258.46,2.57,0.14,18.05,0.18,0.27,47.44,0.47000000000000003,0.08,10.62,0.1,0.58,73.97,0.93,0.32999999999999996,75.52,0.74,14258.9,-99
027-000120,1775.85,1656.59,1664.1899999999998,141.62,117.17999999999999,117.45,256.54,299.41999999999996,299.41999999999996,81.02,67.03,67.19,564.22,466.84000000000003,593.89,324.98999999999995,482.71,483.90999999999997,-6.7,0.5
